Label ID, Label Name, Link
1283, Taste Recordings, https://www.discogs.com/label/1283-Taste-Recordings
2581, Drehscheibe, https://www.discogs.com/label/2581-Drehscheibe
4119, EDM Progressive, https://www.discogs.com/label/4119-EDM-Progressive
1708715, Insane Industry, https://www.discogs.com/label/1708715-Insane-Industry
1035676, This Never Happened, https://www.discogs.com/label/1035676-This-Never-Happened
6533, Cleveland City Records, https://www.discogs.com/label/6533-Cleveland-City-Records
357489, Apollonia, https://www.discogs.com/label/357489-Apollonia
18406, Freak n' Chic, https://www.discogs.com/label/18406-Freak-n-Chic
10607, Contexterrior, https://www.discogs.com/label/10607-Contexterrior
785029, microqlima, https://www.discogs.com/label/785029-microqlima
57, Distance, https://www.discogs.com/label/57-Distance
2338207, OHM Series, https://www.discogs.com/label/2338207-OHM-Series
51359, Camino Blue Recordings, https://www.discogs.com/label/51359-Camino-Blue-Recordings
66302, Public Image Limited, https://www.discogs.com/artist/66302-Public-Image-Limited
185615, Run For Cover Records, https://www.discogs.com/label/185615-Run-For-Cover-Records-2
1124681, A Friend In Need, https://www.discogs.com/label/1124681-A-Friend-In-Need
80845, Endless Flight, https://www.discogs.com/label/80845-Endless-Flight
124126, Novel Sound, https://www.discogs.com/label/124126-Novel-Sound
383974, PLEASURE ZONE, https://www.discogs.com/label/383974-PLEASURE-ZONE
357949, Steyoyoke, https://www.discogs.com/label/357949-Steyoyoke
261838, Biorecordings, https://www.discogs.com/label/261838-Biorecordings
66320, New Kanada, https://www.discogs.com/label/66320-New-Kanada
363756, Mood Hut, https://www.discogs.com/label/363756-Mood-Hut
487390, Outlaw, https://www.discogs.com/label/487390-Outlaw
148054, Dekmantel, https://www.discogs.com/label/148054-Dekmantel
1952403, Ritmo Fatale, https://www.discogs.com/label/1952403-Ritmo-Fatale
1077332, BodyParts Vinyl, https://www.discogs.com/label/1077332-BodyParts-Vinyl
451598, Body Parts Records, https://www.discogs.com/label/451598-Body-Parts-Records
1182363, Dischi Autunno, https://www.discogs.com/label/1182363-Dischi-Autunno
3021, Rip Records, https://www.discogs.com/label/3021-Rip-Records
873038, Scenario, https://www.discogs.com/label/873038-Scenario-2
6868, Progressive Motion Records, https://www.discogs.com/label/6868-PRG-Progressive-Motion-Records
1700240, Melodeum, https://www.discogs.com/label/1700240-Melodeum
276637, PRSPCT Recordings, https://www.discogs.com/label/276637-PRSPCT-Recordings
5965, Seventh Sense Records, https://www.discogs.com/label/5965-Seventh-Sense-Records
1135, after 6 am, https://www.discogs.com/label/1135-after-6-am
1117, Basic Beat Recordings, https://www.discogs.com/label/1117-Basic-Beat-Recordings
1092, 10 Kilo, https://www.discogs.com/label/1092-10-Kilo
1134318, Tamango Records, https://www.discogs.com/label/1134318-Tamango-Records
5932, Inzec, https://www.discogs.com/label/5932-Inzec
23857, Sugarcane Recordings, https://www.discogs.com/label/23857-Sugarcane-Recordings
38414, Music Man Records, https://www.discogs.com/label/38414-Music-Man-Records
9537, Generator Records, https://www.discogs.com/label/9537-Generator-Records-2
12179, Crib Records, https://www.discogs.com/label/12179-Crib-Records
39701, Zac Music, https://www.discogs.com/label/39701-Zac-Music
709538, RCA Records Factory Italy, https://www.discogs.com/label/709538-RCA-Records-Factory-Italy
442143, New Morning, https://www.discogs.com/label/442143-New-Morning
1142925, FIP, https://www.discogs.com/label/1142925-FIP-3
27139, Radio France, https://www.discogs.com/label/27139-Radio-France
759533, Gents & Dandy's Records, https://www.discogs.com/label/759533-Gents-Dandys-Records
392, Dial, https://www.discogs.com/label/392-Dial
250419, CORRESPONDANT, https://www.discogs.com/label/250419-CORRESPONDANT
62555, Diynamic Music, https://www.discogs.com/label/62555-Diynamic-Music
906282, Analogical Force, https://www.discogs.com/label/906282-Analogical-Force
167083, Fantastic Friends Recordings, https://www.discogs.com/label/167083-Fantastic-Friends-Recordings
358024, Sangoma Records, https://www.discogs.com/label/358024-Sangoma-Records
68242, Rebirth, https://www.discogs.com/label/68242-Rebirth
229006, Visionquest, https://www.discogs.com/label/229006-Visionquest
68404, Herzblut Recordings, https://www.discogs.com/label/68404-Herzblut-Recordings
27358, Systematic, https://www.discogs.com/label/27358-Systematic-3
1168052, Second State, https://www.discogs.com/label/1168052-Second-State
307927, Above Board Distribution, https://www.discogs.com/label/307927-Above-Board-Distribution
114455, Tartelet Records, https://www.discogs.com/label/114455-Tartelet-Records
15638, Cadenza, https://www.discogs.com/label/15638-Cadenza
1746, Ware, https://www.discogs.com/label/1746-Ware
1326, Network Records, https://www.discogs.com/label/1326-Network-Records
110913, LuckyMe, https://www.discogs.com/label/110913-LuckyMe
7357, 4 Track Records, https://www.discogs.com/label/7357-4-Track-Records
6269, Loöq Records, https://www.discogs.com/label/6269-Loöq-Records
24009, Shinemusic, https://www.discogs.com/label/24009-Shinemusic
210306, High Focus Records, https://www.discogs.com/label/210306-High-Focus-Records
1922115, Future Retro London, https://www.discogs.com/label/1922115-Future-Retro-London
46809, Underground Quality, https://www.discogs.com/label/46809-Underground-Quality
1426, Moodmusic, https://www.discogs.com/label/1426-Moodmusic
5729, Rhythm Records, https://www.discogs.com/label/5729-Rhythm-Records
2830079, Report, https://www.discogs.com/label/2830079-Report-4
1195714, ReFace, https://www.discogs.com/label/1195714-ReFace
1760, Cyclo, https://www.discogs.com/label/1760-Cyclo
361, Playhouse, https://www.discogs.com/label/361-Playhouse
2439, Ongaku Musik, https://www.discogs.com/label/2439-Ongaku-Musik
1408, Klang Elektronik, https://www.discogs.com/label/1408-Klang-Elektronik
1383323, The Groove Stage, https://www.discogs.com/label/1383323-The-Groove-Stage
63501, Permanent Vacation, https://www.discogs.com/label/63501-Permanent-Vacation
32976, Downtown, https://www.discogs.com/label/32976-Downtown
1278472, Dansu Discs, https://www.discogs.com/label/1278472-Dansu-Discs
1110297, MoBlack Records, https://www.discogs.com/label/1110297-MoBlack-Records
27044, Fnac Music, https://www.discogs.com/label/27044-Fnac-Music
21865, Casamba, https://www.discogs.com/label/21865-Casamba
2224, DJ-sets.com, https://www.discogs.com/label/2224-DJ-setscom
291217, Extreme Couching, https://www.discogs.com/label/291217-Extreme-Couching
244, Plastic City, https://www.discogs.com/label/244-Plastic-City
416502, United DJs Of America, https://www.discogs.com/label/416502-United-DJs-Of-America
5818, Holistic Recordings, https://www.discogs.com/label/5818-Holistic-Recordings
