yt_channel_id (S),yt_published_at (S),yt_track_id (S),yt_track_name (S),spotify_found_time (S),spotify_playlist (S),spotify_uri (S)
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-16T12:31:57.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjIxbWdEYU5jcnNn,Quadripart - Joy (Original Mix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-20T20:54:36.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLk5nQ01qT0FFdVRR,"Zvona Katolicke Crkve na Crvenom Krstu, Vracar (The bells of Catholic Church in Belgrade)",,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-22T13:34:25.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjFoSVpXN255Wmx3,Parallel 9 - Ventris (2005),2019-12-01T04:58:58.037921+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:2zRUmXyKLEKyyPVmQ24TVQ
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-22T13:58:51.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjlnM1RQU3VQTUVv,Pluto - Mach Three (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-22T15:51:19.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmY0d1dKQVJhOC1R,The Primitive Painter - Hope (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-24T01:19:14.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkFfR1lZRHJUdFBR,Magic Affair - Homicidal (1994),2019-12-01T04:58:58.977970+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:3hlaQlRCS9Lv4uA5G839SO
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-24T01:37:34.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnZTa1ltVXJ1V1pV,Snap! - Money (1992),2019-12-01T04:58:59.598044+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:2RC6dh2FpK6h3BG9EnWgxP
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-28T09:27:15.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjU0MjBVcU9ERy1z,Harmon Eyes - Through The Tunnel (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-28T10:38:03.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmpOenRYLUpRck1v,Harmon Eyes - Hop O' My Thumb (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-05-24T00:36:48.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLi1YUm40V25oRHJv,Crystal Moon - Silent Pool (1997),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-05-24T12:14:23.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLllvYnJ5cUE4WDBZ,Harmon Eyes - Junoctal (1994),,,
